CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Cluster
1,86,1,857.39,1,1,1,3,1
2,4,7,6518.6,5,5,5,15,0
3,2,5,6636.72,5,4,5,14,0
4,5,5,7219.0599999999995,5,4,5,14,0
5,90,1,3872.72,1,1,4,6,1
6,20,1,1218.03,3,1,1,5,1
7,2,6,4016.74,5,5,4,14,3
8,11,4,3378.21,4,4,3,11,3
9,30,2,2561.47,3,1,2,6,1
10,1,4,5181.96,5,4,4,13,3
11,61,3,3916.33,1,2,4,7,3
12,8,2,2588.09,4,1,3,8,1
13,32,5,3513.09,2,4,3,9,3
14,19,3,2722.9500000000003,3,2,3,8,3
15,20,4,2998.16,3,4,3,10,3
16,1,6,9757.210000000001,5,5,5,15,0
17,38,1,426.9,2,1,1,4,1
18,7,6,6797.79,5,5,5,15,0
19,7,3,4497.33,5,2,4,11,3
20,161,1,369.69,1,1,1,3,2
21,5,11,11197.26,5,5,5,15,0
22,23,3,3792.62,3,2,3,8,3
23,45,3,4603.64,2,2,4,8,3
24,55,3,4871.32,2,2,4,8,3
25,18,3,3535.98,3,2,3,8,3
26,17,3,4286.73,3,2,4,9,3
27,11,2,1899.25,4,1,2,7,1
28,15,7,7111.08,4,5,5,14,0
29,40,4,4603.84,2,4,4,10,3
30,32,3,1410.7800000000002,2,2,1,5,1
31,6,5,5304.1900000000005,5,4,4,13,3
32,1,4,4944.28,5,4,4,13,3
33,131,3,1352.33,1,2,1,4,2
34,67,2,1938.56,1,1,2,4,1
35,9,3,2705.7400000000002,4,2,3,9,3
36,140,1,982.19,1,1,1,3,2
37,77,2,2041.6200000000001,1,1,2,4,1
38,55,4,2575.83,2,4,3,9,3
39,88,2,1079.41,1,1,1,3,1
40,5,6,5948.52,5,5,5,15,0
41,9,4,5473.72,4,4,5,13,3
42,11,4,3996.56,4,4,4,12,3
43,17,6,7250.63,3,5,5,13,0
44,22,3,2765.45,3,2,3,8,3
45,19,7,8004.6,3,5,5,13,0
46,8,3,3250.05,4,2,3,9,3
47,20,4,3130.7799999999997,3,4,3,10,3
48,3,5,3226.98,5,4,3,12,3
49,6,6,8783.45,5,5,5,15,0
50,1,4,5050.37,5,4,4,13,3
51,3,2,1059.43,5,1,1,7,1
52,9,4,7229.879999999999,4,4,5,13,0
53,24,4,1442.46,3,4,1,8,3
54,30,5,2987.1099999999997,3,4,3,10,3
55,4,5,5682.71,5,4,5,14,0
56,2,2,395.39,5,1,1,7,1
57,52,5,7148.98,2,4,5,11,0
58,15,4,4498.77,4,4,4,12,3
59,8,1,625.11,4,1,1,6,1
60,2,5,4626.67,5,4,4,13,3
61,8,5,5781.76,4,4,5,13,0
62,14,2,859.82,4,1,1,6,1
63,36,2,1228.08,2,1,1,4,1
64,38,1,1310.95,2,1,1,4,1
65,36,4,4905.33,2,4,4,10,3
66,14,4,4673.81,4,4,4,12,3
67,33,3,1080.53,2,2,1,5,1
68,22,7,10193.42,3,5,5,13,0
69,34,5,3030.26,2,4,3,9,3
70,36,1,1923.47,2,1,2,5,1
71,8,2,2022.29,4,1,2,7,1
72,53,3,5088.54,2,2,4,8,3
73,54,2,551.57,2,1,1,4,1
74,66,2,2930.8900000000003,1,1,3,5,1
75,8,4,2190.07,4,4,2,10,3
76,27,2,2620.61,3,1,3,7,1
77,32,6,9433.03,2,5,5,12,0
78,13,3,2822.63,4,2,3,9,3
79,5,4,4811.57,5,4,4,13,3
80,15,5,7774.410000000001,4,4,5,13,0
81,20,5,6987.7,3,4,5,12,0
82,10,2,3094.08,4,1,3,8,1
83,5,2,2388.0,5,1,2,8,1
84,25,5,7180.56,3,4,5,12,0
85,1,2,1980.9,5,1,2,8,1
86,21,4,4433.72,3,4,4,11,3
87,10,4,4716.86,4,4,4,12,3
88,12,1,351.41,4,1,1,6,1
89,34,4,4840.139999999999,2,4,4,10,3
90,22,5,3715.75,3,4,3,10,3
91,41,3,1182.0300000000002,2,2,1,5,1
92,3,2,2892.7799999999997,5,1,3,9,1
93,4,2,2833.17,5,1,3,9,1
94,34,3,8535.92,2,2,5,9,0
95,17,4,6346.51,3,4,5,12,3
96,2,4,1521.46,5,4,2,11,3
97,30,2,2566.12,3,1,2,6,1
98,1,7,8114.75,5,5,5,15,0
99,16,3,3803.55,4,2,4,10,3
100,6,5,3364.97,5,4,3,12,3
101,68,1,1964.38,1,1,2,4,1
102,8,1,1370.06,4,1,1,6,1
103,4,3,2818.83,5,2,3,10,3
104,46,2,1626.23,2,1,2,5,1
105,189,1,360.61,1,1,1,3,2
106,43,4,4250.17,2,4,4,10,3
107,4,2,2161.5,5,1,2,8,1
108,37,4,3265.85,2,4,3,9,3
109,1,7,8419.25,5,5,5,15,0
110,32,3,2493.16,2,2,2,6,1
111,41,1,1161.45,2,1,1,4,1
112,14,8,6618.76,4,5,5,14,0
113,73,1,1015.75,1,1,1,3,1
114,25,5,8525.58,3,4,5,12,0
115,39,1,668.86,2,1,1,4,1
116,58,2,632.3,2,1,1,4,1
117,24,5,8627.529999999999,3,4,5,12,0
118,13,3,3759.25,4,2,3,9,3
119,37,6,5350.11,2,5,4,11,0
120,22,4,7689.18,3,4,5,12,0
121,7,2,5480.79,5,1,5,11,3
122,7,5,5604.08,5,4,5,14,0
123,13,4,4256.6,4,4,4,12,3
124,34,1,1322.14,2,1,1,4,1
125,30,2,2176.3199999999997,3,1,2,6,1
126,19,2,2021.8400000000001,3,1,2,6,1
127,93,3,2607.55,1,2,3,6,1
128,22,5,4808.85,3,4,4,11,3
129,5,2,3392.35,5,1,3,9,1
130,5,2,3035.84,5,1,3,9,1
131,2,5,4806.04,5,4,4,13,3
132,12,1,551.11,4,1,1,6,1
133,81,2,2418.69,1,1,2,4,1
134,39,3,2948.77,2,2,3,7,3
135,2,3,1610.21,5,2,2,9,1
136,15,1,1652.15,4,1,2,7,1
137,36,5,6230.450000000001,2,4,5,11,0
138,11,5,6159.02,4,4,5,13,0
139,18,6,8887.44,3,5,5,13,0
140,90,1,580.76,1,1,1,3,1
141,24,4,3374.28,3,4,3,10,3
142,7,6,2053.33,5,5,2,12,3
143,45,3,432.57,2,2,1,5,1
144,20,4,3659.16,3,4,3,10,3
145,272,2,1841.0300000000002,1,1,2,4,2
146,52,3,1698.5,2,2,2,6,1
147,366,1,982.19,1,1,1,3,2
148,57,3,3774.87,2,2,3,7,3
149,26,6,6366.929999999999,3,5,5,13,0
150,13,4,5561.04,4,4,5,13,3
151,1,4,6023.55,5,4,5,14,3
152,61,3,836.68,1,2,1,4,1
153,8,2,1577.13,4,1,2,7,1
154,31,4,2855.03,2,4,3,9,3
155,15,5,6292.58,4,4,5,13,0
156,18,4,4641.92,3,4,4,11,3
157,10,4,4169.13,4,4,4,12,3
158,18,4,1341.56,3,4,1,8,3
159,32,5,6360.97,2,4,5,11,0
160,13,5,4190.969999999999,4,4,4,12,3
161,17,3,2649.94,3,2,3,8,3
162,26,2,5694.48,3,1,5,9,3
163,103,4,5236.08,1,4,4,9,3
164,59,4,3958.83,1,4,4,9,3
165,48,2,2557.46,2,1,2,5,1
166,236,1,580.76,1,1,1,3,2
167,137,2,7025.959999999999,1,1,5,7,2
168,18,4,2581.51,3,4,3,10,3
169,13,3,5828.700000000001,4,2,5,11,3
170,2,4,7236.96,5,4,5,14,0
171,18,4,1763.91,3,4,2,9,3
172,67,1,1923.47,1,1,2,4,1
173,50,2,3565.4700000000003,2,1,3,6,1
174,27,2,901.34,3,1,1,5,1
175,5,3,3286.0,5,2,3,10,3
176,12,5,13461.939999999999,4,4,5,13,0
177,1,2,1223.37,5,1,1,7,1
178,34,2,1922.6499999999999,2,1,2,5,1
179,40,2,3324.67,2,1,3,6,1
180,2,6,8659.32,5,5,5,15,0
181,15,7,7845.29,4,5,5,14,0
182,29,6,11857.43,3,5,5,13,0
183,66,3,4424.19,1,2,4,7,3
184,1,4,4345.95,5,4,4,13,3
185,18,3,2362.02,3,2,2,7,1
186,24,4,2423.25,3,4,2,9,3
187,8,3,3550.3599999999997,4,2,3,9,3
188,114,2,1484.02,1,1,1,3,2
189,9,1,1580.74,4,1,2,7,1
190,9,2,3342.3599999999997,4,1,3,8,1
191,138,2,2218.19,1,1,2,4,2
192,27,1,351.41,3,1,1,5,1
193,37,1,551.11,2,1,1,4,1
194,366,2,2116.04,1,1,2,4,2
195,30,2,2016.66,2,1,2,5,1
196,19,3,2541.94,3,2,2,7,3
197,13,1,1665.25,4,1,2,7,1
198,69,3,3597.1000000000004,1,2,3,6,3
199,35,1,1370.06,2,1,1,4,1
200,5,3,2004.47,5,2,2,9,1
201,8,2,2956.7799999999997,4,1,3,8,1
202,76,2,2296.97,1,1,2,4,1
203,19,2,1337.72,3,1,1,5,1
204,8,5,8949.88,4,4,5,13,0
205,17,3,3373.37,3,2,3,8,3
206,26,4,4485.52,3,4,4,11,3
207,11,2,1773.07,4,1,2,7,1
208,2,1,1161.45,5,1,1,7,1
209,4,1,280.69,5,1,1,7,1
210,21,4,4270.02,3,4,4,11,3
211,1,5,3360.78,5,4,3,12,3
212,33,4,5157.04,2,4,4,10,3
213,14,4,4884.57,4,4,4,12,3
214,5,9,8988.74,5,5,5,15,0
215,18,3,695.1,3,2,1,6,1
216,22,1,271.69,3,1,1,5,1
217,16,1,1665.25,4,1,2,7,1
218,16,6,13081.66,4,5,5,14,0
219,50,2,1332.42,2,1,1,4,1
220,51,5,6074.85,2,4,5,11,0
221,22,7,13471.869999999999,3,5,5,13,0
222,53,3,3923.92,2,2,4,8,3
223,56,3,3066.23,2,2,3,7,3
224,68,2,1507.48,1,1,2,4,1
225,63,3,2311.64,1,2,2,5,1
226,25,4,5116.65,3,4,4,11,3
227,124,3,1350.78,1,2,1,4,2
228,12,6,5780.73,4,5,5,14,0
229,20,5,6196.44,3,4,5,12,0
230,7,3,2754.05,5,2,3,10,3
231,15,3,3151.98,4,2,3,9,3
232,25,1,497.23,3,1,1,5,1
233,33,2,932.1700000000001,2,1,1,4,1
234,34,2,2562.9300000000003,2,1,2,5,1
235,40,2,1173.15,2,1,1,4,1
236,11,3,3060.99,4,2,3,9,3
237,19,3,2505.5699999999997,3,2,2,7,3
238,5,5,4447.7300000000005,5,4,4,13,3
239,95,1,271.69,1,1,1,3,1
240,26,1,1618.56,3,1,2,6,1
241,6,5,8484.86,5,4,5,14,0
242,1,2,2036.3200000000002,5,1,2,8,1
243,185,1,1370.06,1,1,1,3,2
244,29,3,2985.58,3,2,3,8,3
245,86,1,1854.56,1,1,2,4,1
246,18,7,6293.77,3,5,5,13,0
247,6,5,3312.79,5,4,3,12,3
248,218,1,668.86,1,1,1,3,2
249,215,1,1601.09,1,1,2,4,2
250,19,1,497.23,3,1,1,5,1
251,53,1,426.9,2,1,1,4,1
252,5,3,2149.24,5,2,2,9,1
253,8,6,4411.43,4,5,4,13,0
254,31,4,6223.93,2,4,5,11,3
255,46,2,2362.1,2,1,2,5,1
256,115,3,2896.5,1,2,3,6,2
257,18,6,7892.6,3,5,5,13,0
258,8,1,1068.54,4,1,1,6,1
259,87,1,5293.89,1,1,4,6,1
260,10,8,8221.14,4,5,5,14,0
261,23,3,3436.25,3,2,3,8,3
262,74,2,857.84,1,1,1,3,1
263,116,3,1274.3600000000001,1,2,1,4,2
264,231,1,154.48,1,1,1,3,2
265,48,2,1905.1799999999998,2,1,2,5,1
266,40,2,2205.09,2,1,2,5,1
267,12,2,1092.99,4,1,1,6,1
268,58,4,4736.41,2,4,4,10,3
269,2,4,4488.7699999999995,5,4,4,13,3
270,7,6,6686.5,5,5,5,15,0
271,14,4,973.78,4,4,1,9,3
