CustomerID,Age,Gender,AvgBrowsingTime,AvgPageViews,PastPurchases,Purchase
1,56,Female,1.5,7,0,0
2,69,Male,3.16,7,1,1
3,46,Female,14.81,5,2,1
4,32,Male,2.71,4,2,1
5,60,Female,8.29,8,0,1
6,25,Female,0.5,6,1,0
7,38,Male,0.5,4,3,1
8,56,Male,1.82,3,2,1
9,36,Male,4.11,5,0,1
10,40,Male,7.54,7,2,0
11,28,Female,16.73,3,2,1
12,28,Female,3.22,5,1,0
13,41,Male,0.5,8,1,0
14,53,Male,5.98,3,2,1
15,57,Male,3.0,6,2,1
16,41,Female,0.93,9,0,1
17,20,Male,4.32,2,1,0
18,39,Female,4.19,5,4,1
19,19,Female,4.24,7,1,0
20,41,Female,2.98,5,0,0
21,61,Male,1.91,5,1,0
22,47,Female,14.6,3,1,1
23,55,Male,4.83,5,0,1
24,19,Male,1.19,6,1,1
25,38,Female,0.56,4,2,1
26,50,Female,5.35,7,0,1
27,29,Male,2.52,3,0,1
28,39,Male,1.2,5,3,1
29,61,Male,3.5,7,0,0
30,42,Male,0.51,4,0,0
31,66,Male,4.3,6,2,0
32,44,Male,0.5,6,3,1
33,59,Male,5.67,2,1,1
34,45,Female,0.52,6,0,0
35,33,Female,0.5,7,0,0
36,32,Female,0.5,3,0,0
37,64,Male,10.92,4,1,1
38,68,Female,8.12,1,2,1
39,61,Female,2.27,3,1,0
40,69,Female,6.65,6,2,1
41,20,Female,3.12,4,0,0
42,54,Female,14.85,4,1,1
43,68,Male,0.88,6,3,1
44,24,Male,4.0,6,1,0
45,38,Female,0.5,9,4,1
46,26,Female,1.11,4,1,0
47,56,Female,14.13,5,2,1
48,35,Male,4.92,6,2,0
49,21,Male,1.12,6,1,0
50,42,Male,0.5,7,3,0
51,31,Female,4.76,3,0,0
52,67,Female,3.7,1,2,1
53,26,Male,2.08,4,0,0
54,43,Male,11.0,5,1,0
55,19,Male,0.5,5,2,1
56,37,Female,2.98,5,1,0
57,45,Female,8.56,5,1,1
58,64,Female,0.61,6,3,1
59,24,Male,0.81,7,0,0
60,61,Female,3.49,6,3,1
61,25,Male,7.66,8,2,1
62,64,Female,1.08,4,1,1
63,52,Male,10.11,7,1,1
64,31,Male,5.8,2,1,0
65,34,Female,0.5,1,0,0
66,53,Female,4.93,4,1,0
67,67,Male,1.96,4,1,0
68,57,Female,0.96,10,7,1
69,21,Male,5.77,5,3,0
70,19,Male,13.63,4,1,0
71,23,Male,0.5,4,2,0
72,59,Male,2.02,9,1,1
73,21,Male,3.98,3,0,0
74,46,Male,3.48,3,0,0
75,35,Male,0.5,6,0,0
76,43,Female,0.5,2,0,1
77,61,Male,6.96,2,2,1
78,51,Female,2.68,7,2,1
79,27,Male,0.88,5,1,1
80,53,Female,7.82,6,1,0
81,31,Male,6.66,5,1,0
82,48,Male,3.23,8,1,1
83,65,Male,1.25,5,1,0
84,32,Male,4.23,7,1,0
85,25,Male,1.7,7,0,0
86,31,Female,1.77,7,1,0
87,40,Female,4.9,4,2,0
88,57,Female,0.5,7,0,1
89,38,Female,0.5,4,2,1
90,33,Male,0.5,3,2,1
91,62,Male,1.43,7,1,1
92,35,Male,0.66,6,0,0
93,64,Male,21.1,4,1,1
94,41,Male,0.5,4,1,0
95,43,Male,0.53,5,1,0
96,42,Male,1.84,4,1,0
97,62,Male,10.62,2,0,1
98,58,Female,1.78,3,1,1
99,46,Female,1.34,7,1,0
100,32,Male,8.53,5,2,1
101,62,Female,3.0,2,1,0
102,18,Female,1.43,3,0,0
103,42,Male,1.77,4,1,0
104,24,Male,2.65,4,0,0
105,26,Male,0.58,5,0,0
106,41,Female,5.52,6,2,0
107,18,Female,1.6,7,1,0
108,61,Male,2.48,9,1,0
109,25,Male,1.68,5,1,0
110,41,Female,0.75,6,1,1
111,28,Male,0.54,7,0,0
112,68,Male,10.49,3,4,1
113,34,Female,1.13,8,1,0
114,25,Female,3.82,6,3,0
115,52,Female,0.82,4,0,0
116,52,Female,0.5,11,1,1
117,50,Female,0.5,3,2,1
