CustomerID,ProductID,Quantity,TotalAmount,DaysAgo,PurchaseDate
1,17,1,857.39,85,8/8/2025
2,2,1,982.19,8,10/24/2025
2,48,1,1068.54,125,6/29/2025
2,37,1,1665.25,89,8/4/2025
2,40,1,497.23,13,10/19/2025
2,36,1,190.96,3,10/29/2025
2,36,1,190.96,6,10/26/2025
2,8,1,1923.47,67,8/26/2025
3,15,1,1854.56,1,10/31/2025
3,36,2,381.92,13,10/19/2025
3,14,1,1469.35,327,12/9/2024
3,47,1,1350.15,152,6/2/2025
3,13,1,1580.74,165,5/20/2025
4,28,1,1370.06,28,10/4/2025
4,9,1,1723.8,4,10/28/2025
4,35,1,271.69,319,12/17/2024
4,32,1,350.23,101,7/23/2025
4,43,2,3503.28,95,7/29/2025
5,26,2,3872.72,89,8/4/2025
6,49,1,1218.03,19,10/13/2025
7,50,1,90.03,363,11/3/2024
7,45,1,426.9,176,5/9/2025
7,49,1,1218.03,73,8/20/2025
7,28,1,1370.06,47,9/15/2025
7,6,1,360.61,1,10/31/2025
7,25,1,551.11,14,10/18/2025
8,19,1,552.94,97,7/27/2025
8,33,1,1015.75,53,9/9/2025
8,42,1,1618.56,97,7/27/2025
8,36,1,190.96,10,10/22/2025
9,26,1,1936.36,50,9/12/2025
9,18,1,625.11,29,10/3/2025
10,5,1,668.86,141,6/13/2025
10,12,1,351.41,38,9/24/2025
10,17,1,857.39,0,11/1/2025
10,3,2,3304.3,36,9/26/2025
11,39,1,1985.36,222,3/24/2025
11,13,1,1580.74,99,7/25/2025
11,32,1,350.23,60,9/2/2025
12,49,1,1218.03,212,4/3/2025
12,28,1,1370.06,7,10/25/2025
13,12,1,351.41,234,3/12/2025
13,40,1,497.23,76,8/17/2025
13,36,1,190.96,31,10/1/2025
13,41,1,1312.04,197,4/18/2025
13,34,1,1161.45,60,9/2/2025
14,23,1,1310.95,18,10/14/2025
14,47,1,1350.15,19,10/13/2025
14,31,1,61.85,138,6/16/2025
15,9,1,1723.8,181,5/4/2025
15,32,1,350.23,52,9/10/2025
15,45,1,426.9,154,5/31/2025
15,40,1,497.23,19,10/13/2025
16,14,1,1469.35,11,10/21/2025
16,29,1,1719.14,215,3/31/2025
16,43,1,1751.64,29,10/3/2025
16,2,1,982.19,0,11/1/2025
16,8,1,1923.47,31,10/1/2025
16,38,2,1911.42,74,8/19/2025
17,45,1,426.9,37,9/25/2025
18,34,1,1161.45,66,8/27/2025
18,22,2,1912.74,12,10/20/2025
18,49,1,1218.03,128,6/26/2025
18,24,1,304.09,210,4/5/2025
18,16,1,477.68,265,2/9/2025
18,9,1,1723.8,6,10/26/2025
19,20,1,1322.14,82,8/11/2025
19,25,1,551.11,6,10/26/2025
