CustomerID,Age,Gender,AvgBrowsingTime,AvgPageViews,PastPurchases,Purchase,Purchase_Probability,Purchase_Rank,Target_Top20
1,56,1,1.5,7,0,0,0.6052871378632425,1768.0,0
2,69,0,3.16,7,1,1,0.8154627109147666,178.0,1
3,46,1,14.81,5,2,1,0.5999022836666081,1805.0,0
4,32,0,2.71,4,2,1,0.37711570025363517,3345.0,0
5,60,1,8.29,8,0,1,0.6850979133465385,1140.0,0
6,25,1,0.5,6,1,0,0.2434225922970067,4374.0,0
7,38,0,0.5,4,3,1,0.5131199299413092,2408.0,0
8,56,0,1.82,3,2,1,0.6881157171659159,1112.0,0
9,36,0,4.11,5,0,1,0.3324848046299201,3695.0,0
10,40,0,7.54,7,2,0,0.5363136151449766,2239.0,0
11,28,1,16.73,3,2,1,0.33607485815958144,3665.0,0
12,28,1,3.22,5,1,0,0.27257376297725966,4133.0,0
13,41,0,0.5,8,1,0,0.48182443521819945,2629.0,0
14,53,0,5.98,3,2,1,0.6614660053611356,1320.0,0
15,57,0,3.0,6,2,1,0.7316815917257505,759.0,1
16,41,1,0.93,9,0,1,0.41864646174209935,3050.0,0
17,20,0,4.32,2,1,0,0.18311879702300876,4827.0,0
18,39,1,4.19,5,4,1,0.5923881423031249,1845.0,0
19,19,1,4.24,7,1,0,0.20073197412163532,4712.0,0
20,41,1,2.98,5,0,0,0.37882796525772494,3331.0,0
21,61,0,1.91,5,1,0,0.7164062301920456,900.0,1
22,47,1,14.6,3,1,1,0.5305605669696835,2283.0,0
23,55,0,4.83,5,0,1,0.593989737561724,1838.0,0
24,19,0,1.19,6,1,1,0.19817629063129957,4734.0,0
25,38,1,0.56,4,2,1,0.43666770206254524,2927.0,0
26,50,1,5.35,7,0,1,0.5333742332937499,2262.0,0
27,29,0,2.52,3,0,1,0.2308070181999642,4476.0,0
28,39,0,1.2,5,3,1,0.5409368602599355,2202.0,0
29,61,0,3.5,7,0,0,0.689497281138013,1098.0,0
30,42,0,0.51,4,0,0,0.3899184768962466,3244.0,0
31,66,0,4.3,6,2,0,0.8211936257460143,144.0,1
32,44,0,0.5,6,3,1,0.6189073953366886,1665.0,0
33,59,0,5.67,2,1,1,0.6714602996689707,1238.0,0
34,45,1,0.52,6,0,0,0.43781551238363425,2919.0,0
35,33,1,0.5,7,0,0,0.29355081272688355,3979.0,0
36,32,1,0.5,3,0,0,0.24527021459463075,4358.0,0
37,64,0,10.92,4,1,1,0.7596360768171133,558.0,1
38,68,1,8.12,1,2,1,0.7985882693879028,260.0,1
39,61,1,2.27,3,1,0,0.6835117343579049,1151.0,0
40,69,1,6.65,6,2,1,0.839423565050519,89.0,1
41,20,1,3.12,4,0,0,0.15159765968399427,4962.0,0
42,54,1,14.85,4,1,1,0.6379684562037157,1513.0,0
43,68,0,0.88,6,3,1,0.8629344558441808,33.0,1
44,24,0,4.0,6,1,0,0.25267972005312617,4300.0,0
45,38,1,0.5,9,4,1,0.6142235365569227,1702.0,0
46,26,1,1.11,4,1,0,0.23766055836381622,4423.0,0
47,56,1,14.13,5,2,1,0.7231392765981479,833.0,1
48,35,0,4.92,6,2,0,0.4469335132012133,2860.0,0
49,21,0,1.12,6,1,0,0.21653488664004494,4591.0,0
50,42,0,0.5,7,3,0,0.6034210937527535,1783.0,0
51,31,1,4.76,3,0,0,0.24382934530726857,4367.0,0
52,67,1,3.7,1,2,1,0.7809000721973023,373.0,1
53,26,0,2.08,4,0,0,0.20912351259115347,4654.0,0
54,43,0,11.0,5,1,0,0.5042910212499252,2454.0,0
55,19,0,0.5,5,2,1,0.2294931947803813,4485.0,0
56,37,1,2.98,5,1,0,0.3827614272620085,3298.0,0
57,45,1,8.56,5,1,1,0.5089662805250141,2431.0,0
58,64,1,0.61,6,3,1,0.8242798486401723,139.0,1
59,24,0,0.81,7,0,0,0.2116378544393838,4634.0,0
60,61,1,3.49,6,3,1,0.803696644222324,232.0,1
61,25,0,7.66,8,2,1,0.34301331146071673,3611.0,0
62,64,1,1.08,4,1,1,0.7256427178532092,805.0,1
63,52,0,10.11,7,1,1,0.6475502432385425,1423.0,0
64,31,0,5.8,2,1,0,0.29744959067734694,3955.0,0
65,34,1,0.5,1,0,0,0.24857874115990242,4337.0,0
66,53,1,4.93,4,1,0,0.5980614184247824,1817.0,0
67,67,0,1.96,4,1,0,0.7716327275831888,449.0,1
68,57,1,0.96,10,7,1,0.9098940270734276,2.0,1
69,21,0,5.77,5,3,0,0.3106972834113338,3848.0,0
70,19,0,13.63,4,1,0,0.20571847542363395,4672.0,0
71,23,0,0.5,4,2,0,0.26241606488172053,4221.0,0
72,59,0,2.02,9,1,1,0.7320257506800849,755.0,1
73,21,0,3.98,3,0,0,0.16282466543681254,4917.0,0
74,46,0,3.48,3,0,0,0.44124009434433675,2895.0,0
75,35,0,0.5,6,0,0,0.32148734500297865,3770.5,0
76,43,1,0.5,2,0,1,0.3653227181077609,3433.5,0
77,61,0,6.96,2,2,1,0.7472161395720458,649.0,1
78,51,1,2.68,7,2,1,0.6554690131269029,1362.0,0
79,27,0,0.88,5,1,1,0.26925100218585923,4156.0,0
80,53,1,7.82,6,1,0,0.6283261082139923,1596.0,0
81,31,0,6.66,5,1,0,0.3301416744903477,3708.0,0
82,48,0,3.23,8,1,1,0.587167818899528,1891.0,0
83,65,0,1.25,5,1,0,0.7584684204304488,564.0,1
84,32,0,4.23,7,1,0,0.3579761072156814,3493.0,0
85,25,0,1.7,7,0,0,0.2229293614594281,4538.0,0
86,31,1,1.77,7,1,0,0.32420523899337605,3756.0,0
87,40,1,4.9,4,2,0,0.4768276604249917,2656.0,0
88,57,1,0.5,7,0,1,0.6159614486449755,1694.0,0
89,38,1,0.5,4,2,1,0.4364997525128694,2929.0,0
90,33,0,0.5,3,2,1,0.3733056017274274,3376.0,0
